From LCSC,,,,,,,,,,
LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C383211,LESD5D5.0CT1G,LRC,,SOD-523,5.6V 18.6V 5V Bi-Directional SOD-523  ESD Protection Devices ROHS,YES,300,50\50,0.0152,4.56
C82544,1N5819HW-7-F,Diodes Incorporated,,SOD-123,40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS,YES,100,20\20,0.0208,2.08
C513772,CS1005X7R104K500NR,Samwha Capacitor,,402,50V 100nF ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,400,100\100,0.0019,0.76
C2912598,HoAR0805-1/8W-5.1KR-0.1%-TCR25,Milliohm,,805,125mW Ceramic resistor ±25ppm/℃ ±0.1% 5.1kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,50,10\10,0.0506,2.53
*OPTIONAL C2886570,SK6812mini,OPSCO Optoelectronics,,SMD, SMD  Light Emitting Diodes (LED) ROHS,YES,15,5\5,0.1927,2.89
C2886903,TL3305BF260QG,E-Switch,,SMD,NO 50mA 100MΩ 200000 Times 12V 260gf Brick nogging SPST SMD  Tactile Switches ROHS,YES,20,5\5,0.1807,3.61
C2913202,ESP32-S3-WROOM-1U-N16R8,Espressif Systems,,"SMD,18x25.5mm"," SMD,18x25.5mm  WiFi Modules ROHS",YES,2,1\1,5.1132,10.23
*RESISTOR FOR PWR LED (3V3/.02A) C2849095,PTFR0805B200RP9,Resistor.Today,,805,0.13W Thin Film Resistor ±25ppm/℃ ±0.1% 200Ω 0805  Chip Resistor - Surface Mount ROHS,YES,20,5\5,0.1403,2.81
C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,,SMD,5A 1 Surface Mount 16P Female -25℃~+85℃ Type-C SMD  USB Connectors ROHS,YES,30,10\10,0.0523,1.57
C5120765,AMS1117-3.3V,MSKSEMI,,SOT-223,1A Fixed 3.3V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,YES,80,10\10,0.0427,3.42
,,,,,,,,,,
From DigiKey,,,,,,,,,,
Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price,,,
1276-6454-1-ND,CL21A106KAYNNNG,CAP CER 10UF 25V X5R 0805,,50,0,$0.07 ,$3.64 ,,,
1276-1034-1-ND,CL10A105KO8NNNC,CAP CER 1UF 16V X5R 0603,,100,0,$0.01 ,$1.47 ,,,
1276-1104-1-ND,CL10B223KB8NNNC,CAP CER 0.022UF 50V X7R 0603,,100,0,$0.01 ,$1.46 ,,,
A130574CT-ND,CRGP1206F1M0,RES 1M OHM 1% 1/2W 1206,,10,0,$0.26 ,$2.60 ,,,
311-47.5KCRCT-ND,RC0805FR-0747K5L,RES 47.5K OHM 1% 1/8W 0805,,100,0,$0.01 ,$1.27 ,,,
RNCP0603FTD10K0CT-ND,RNCP0603FTD10K0,RES 10K OHM 1% 1/8W 0603,,100,0,$0.02 ,$2.48 ,,,
P124402CT-ND,ERJ-6CWDR011V,"0805 CURRENT SENSING RES. 0.5%,",,10,0,$0.44 ,$4.41 ,,,
